"id","idg","wave","position","order","pid","int_corr","age_o","pf_o_att","pf_o_int","pf_o_amb","dec_o","sinc_o","fun_o","shar_o","prob_o","age","field_cd","mn_sat","tuition","imprace","from","income","date","career","sports","exercise","museums","hiking","clubbing","tv","movies","music","yoga","expnum","sinc1_1","fun1_1","shar1_1","sinc4_1","fun4_1","shar4_1","sinc2_1","fun2_1","shar2_1","sinc3_1","intel3_1","attr5_1","intel5_1","amb5_1","attr","intel","amb","like","met","attr1_s","intel1_s","amb1_s","attr3_s","intel3_s","amb3_s","length","attr7_2","sinc7_2","intel7_2","fun7_2","amb7_2","shar7_2","sinc1_2","fun1_2","shar1_2","sinc4_2","fun4_2","shar4_2","sinc2_2","fun2_2","shar2_2","sinc3_2","fun3_2","attr5_2","intel5_2","amb5_2","them_cal","numdat_3","num_in_3","sinc1_3","fun1_3","shar1_3","attr7_3","sinc7_3","intel7_3","fun7_3","amb7_3","shar7_3","attr4_3","sinc4_3","intel4_3","fun4_3","amb4_3","shar4_3","attr2_3","sinc2_3","intel2_3","fun2_3","amb2_3","shar2_3","sinc3_3","fun3_3","attr5_3","sinc5_3","intel5_3","fun5_3","amb5_3"
1,1,1,7,4,11,0.14,27,35.0,20.0,0.0,0,8.0,8.0,6.0,4.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,6.0,7.0,6.0,7.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,3,12,0.54,22,60.0,0.0,0.0,0,8.0,7.0,5.0,4.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,7.0,7.0,5.0,7.0,1,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,10,13,0.16,22,19.0,19.0,14.0,1,10.0,10.0,10.0,10.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,5.0,9.0,5.0,7.0,1,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,5,14,0.61,23,30.0,15.0,5.0,1,8.0,8.0,8.0,7.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,7.0,8.0,6.0,7.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,7,15,0.21,24,30.0,20.0,10.0,1,7.0,6.0,7.0,6.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,5.0,7.0,6.0,6.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,6,16,0.25,25,50.0,30.0,0.0,1,7.0,8.0,7.0,6.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,4.0,7.0,6.0,6.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,1,17,0.34,30,35.0,25.0,5.0,0,6.0,5.0,7.0,1.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,7.0,7.0,6.0,6.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,2,18,0.5,27,33.33,11.11,11.11,0,7.0,6.0,6.0,5.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,4.0,7.0,5.0,6.0,1,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,8,19,0.28,28,50.0,25.0,0.0,1,7.0,8.0,9.0,8.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,7.0,8.0,8.0,7.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
1,1,1,7,9,20,-0.36,24,100.0,0.0,0.0,0,6.0,6.0,6.0,6.0,21,1.0,NA,NA,2,"Chicago","69,487.00",7,"lawyer",9,8,1,5,5,9,10,9,1,2,20.0,15.0,15.0,11,16,11,20.0,20.0,5.0,8,8,7,8,8,5.0,6.0,10.0,6.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,16.67,22.22,16.67,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,7,7,7,8,7,1,1,1,20.0,15.0,15.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,7,7,7,8,8,7,7
2,3,1,3,10,11,0.29,27,35.0,20.0,0.0,0,7.0,9.0,4.0,2.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,5.0,8.0,6.0,6.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
2,3,1,3,9,12,0.18,22,60.0,0.0,0.0,0,6.0,6.0,5.0,4.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,8.0,6.0,9.0,7.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
2,3,1,3,6,13,0.1,22,19.0,19.0,14.0,1,10.0,10.0,10.0,10.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,5.0,9.0,3.0,6.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
2,3,1,3,1,14,-0.21,23,30.0,15.0,5.0,1,9.0,9.0,9.0,7.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,7.0,7.0,5.0,7.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
2,3,1,3,3,15,0.32,24,30.0,20.0,10.0,1,10.0,10.0,8.0,1.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,6.0,7.0,7.0,8.0,1,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
2,3,1,3,2,16,0.73,25,50.0,30.0,0.0,1,8.0,5.0,7.0,5.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,8.0,8.0,6.0,6.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
2,3,1,3,7,17,0.6,30,35.0,25.0,5.0,0,3.0,3.0,3.0,3.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,7.0,9.0,7.0,8.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
2,3,1,3,8,18,0.07,27,33.33,11.11,11.11,1,7.0,7.0,5.0,6.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,5.0,7.0,9.0,5.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
2,3,1,3,4,19,0.11,28,50.0,25.0,0.0,1,6.0,9.0,7.0,8.0,24,1.0,NA,NA,2,"Alabama","65,929.00",5,"law",3,7,8,3,8,1,8,8,1,5,5.0,20.0,5.0,11,16,11,0.0,25.0,0.0,5,8,7,8,8,7.0,8.0,4.0,5.0,2,20.79162353515625,17.24370849609375,11.144619140625002,7.21125,8.25775,8,2,33,14,15,19,7,12,18.92,27.03,8.11,12,15,11,13.898230303030308,17.967232900432897,12.88797575757576,6,9,7,8,7,0,1,1,5.0,15.0,10.0,31,16,17,16,8,12,26,11,12,14,9,11,25,11,12,15,10,12,6,9,7,8,8,7,7
